"Year","Variables","First Quarter","Second Quarter","Third Quarter","Fourth Quarter"
"2021","BOP_Net Errors and Omissions (Millions of US Dollars)","60.24","57.04","-63.70","-305.98"
"2021","BOP_Other investments (Millions of US Dollars)","-802.31","2,737.50","-499.41","-749.69"
"2021","BOP_Direct investments (Millions of US Dollars)","411.25","542.91","942.55","517.18"
"2021","BOP_Capital (net) (Millions of US Dollars)","97.85","27.08","34.01","45.04"
"2021","BOP_ Financial and Capital Account (Millions of US Dollars)","-293.21","3,307.48","477.15","-187.47"
"2021","BOP_Transfers_Official (net) (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2021","BOP_Transfers_Private (net) (Millions of US Dollars)","907.08","807.74","846.89","793.20"
"2021","BOP_Transfers (net) (Millions of US Dollars)","907.08","807.74","846.89","793.20"
"2021","BOP_Income_Outflows (Millions of US Dollars)","-1,017.83","-939.23","-1,483.34","-1,109.32"
"2021","BOP_Income_Inflows (Millions of US Dollars)","124.07","202.07","187.03","205.91"
"2021","BOP_Income (net) (Millions of US Dollars)","-893.76","-737.16","-1,296.30","-903.40"
"2021","BOP_Services_Outflows (Millions of US Dollars)","-2,914.33","-3,189.00","-3,202.16","-3,032.74"
"2021","BOP_Services_Inflows (Millions of US Dollars)","2,071.65","2,299.12","2,459.85","2,343.09"
"2021","BOP_Services (net) (Millions of US Dollars)","-842.68","-889.88","-742.31","-689.65"
"2021","BOP_Balance on Services, Income and Transfers (Millions of US Dollars)","-829.36","-819.30","-1,191.72","-799.85"
"2021","BOP_Merchandise Imports_Oil & Gas (Millions of US Dollars)","-535.93","-681.60","-643.36","-858.26"
"2021","BOP_Merchandise Imports_Non-oil (Millions of US Dollars)","-2,793.30","-2,751.54","-2,653.22","-2,711.42"
"2021","BOP_Merchandise Imports (f.o.b) (Millions of US Dollars)","-3,329.24","-3,433.15","-3,296.58","-3,569.69"
"2021","BOP_Merchandise Exports_Other Exports (Millions of US Dollars)","681.87","671.22","638.94","704.07"
"2021","BOP_Merchandise Exports_Crude Oil  (Millions of US Dollars)","836.20","920.87","1,033.14","1,157.51"
"2021","BOP_Merchandise Exports_Timber & Timber Products (Millions of US Dollars)","43.95","41.16","38.60","38.25"
"2021","BOP_Merchandise Exports_Gold (Millions of US Dollars)","1,377.91","1,288.76","1,167.94","1,248.53"
"2021","BOP_Merchandise Exports_Cocoa beans & Products (Millions of US Dollars)","1,021.71","765.59","511.18","540.06"
"2021","BOP_Merchandise Exports (f.o.b) Millions of US Dollars)","3,961.64","3,687.60","3,389.79","3,688.42"
"2021","BOP_Merchandise Trade Balance (Millions of US Dollars)","632.40","254.45","93.21","118.74"
"2021","BOP_Current Account (Millions of US Dollars)","-196.95","-564.85","-1,098.51","-681.12"
"2020","BOP_Exceptional Financing (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2020","BOP_Reserves_Other Reserve Changes (Millions of US Dollars)","-1,476.46","466.58","675.68","-43.26"
"2020","BOP_Reserves_Holdings of SDR (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2020","BOP_Reserves_IMF Position (net) (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2020","BOP_Reserves_Changes in International Reserves (Millions of US Dollars)","-1,476.46","466.58","675.68","-43.26"
"2020","BOP_Reserves and Related Items (Millions of US Dollars)","-1,476.46","466.58","675.68","-43.26"
"2020","BOP_Overall Balance (Millions of US Dollars)","1,476.46","-466.58","-675.68","43.26"
"2020","BOP_Net Errors and Omissions (Millions of US Dollars)","-162.06","106.18","15.14","-335.03"
"2020","BOP_Other investments (Millions of US Dollars)","1,229.23","-311.75","-468.95","855.16"
"2020","BOP_Direct investments (Millions of US Dollars)","226.05","331.13","429.25","346.93"
"2020","BOP_Capital (net) (Millions of US Dollars)","77.31","61.95","38.31","72.57"
"2020","BOP_ Financial and Capital Account (Millions of US Dollars)","1,532.59","81.33","-1.39","1,274.66"
"2020","BOP_Transfers_Official (net) (Millions of US Dollars)","0.00","0.00","68.40","99.72"
"2020","BOP_Transfers_Private (net) (Millions of US Dollars)","768.99","956.33","865.14","974.28"
"2020","BOP_Transfers (net) (Millions of US Dollars)","768.99","956.33","933.54","1,074.01"
"2020","BOP_Income_Outflows (Millions of US Dollars)","-637.87","-971.65","-1,221.36","-1,306.12"
"2020","BOP_Income_Inflows (Millions of US Dollars)","154.37","291.76","149.03","143.29"
"2020","BOP_Income (net) (Millions of US Dollars)","-483.49","-679.89","-1,072.33","-1,162.83"
"2020","BOP_Services_Outflows (Millions of US Dollars)","-2,892.73","-2,949.60","-2,942.13","-3,332.36"
"2020","BOP_Services_Inflows (Millions of US Dollars)","1,864.10","1,862.67","1,840.53","2,038.25"
"2020","BOP_Services (net) (Millions of US Dollars)","-1,028.63","-1,086.93","-1,101.60","-1,294.10"
"2020","BOP_Balance on Services, Income and Transfers (Millions of US Dollars)","-743.13","-810.50","-1,240.39","-1,382.92"
"2020","BOP_Merchandise Imports_Oil & Gas (Millions of US Dollars)","-550.60","-366.15","-423.72","-550.06"
"2020","BOP_Merchandise Imports_Non-oil (Millions of US Dollars)","-2,490.38","-2,983.41","-2,428.03","-2,636.19"
"2020","BOP_Merchandise Imports (f.o.b) (Millions of US Dollars)","-3,040.98","-3,349.56","-2,851.76","-3,186.26"
"2020","BOP_Merchandise Exports_Other Exports (Millions of US Dollars)","620.46","579.34","542.49","557.36"
"2020","BOP_Merchandise Exports_Crude Oil  (Millions of US Dollars)","789.96","631.32","784.59","704.76"
"2020","BOP_Merchandise Exports_Timber & Timber Products (Millions of US Dollars)","29.51","20.17","42.77","41.55"
"2020","BOP_Merchandise Exports_Gold (Millions of US Dollars)","1,473.90","1,708.79","1,822.18","1,794.22"
"2020","BOP_Merchandise Exports_Cocoa beans & Products (Millions of US Dollars)","976.20","566.34","210.68","574.93"
"2020","BOP_Merchandise Exports (f.o.b) Millions of US Dollars)","3,890.03","3,505.97","3,402.71","3,672.81"
"2020","BOP_Merchandise Trade Balance (Millions of US Dollars)","849.05","156.40","550.96","486.56"
"2020","BOP_Current Account (Millions of US Dollars)","105.93","-654.09","-689.43","-896.37"
"2019","BOP_Exceptional Financing (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2019","BOP_Reserves_Other Reserve Changes (Millions of US Dollars)","-2,997.31","1,674.00","444.44","-462.13"
"2019","BOP_Reserves_Holdings of SDR (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2019","BOP_Reserves_IMF Position (net) (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2019","BOP_Reserves_Changes in International Reserves (Millions of US Dollars)","-2,997.31","1,674.00","444.44","-462.13"
"2019","BOP_Reserves and Related Items (Millions of US Dollars)","-2,997.31","1,674.00","444.44","-462.13"
"2019","BOP_Overall Balance (Millions of US Dollars)","2,997.31","-1,674.00","-444.44","462.13"
"2019","BOP_Net Errors and Omissions (Millions of US Dollars)","112.63","-99.78","90.15","34.33"
"2019","BOP_Other investments (Millions of US Dollars)","1,928.80","-1,759.54","-540.30","-110.47"
"2019","BOP_Direct investments (Millions of US Dollars)","736.96","956.81","762.69","835.61"
"2019","BOP_Capital (net) (Millions of US Dollars)","40.90","67.65","79.23","69.30"
"2019","BOP_ Financial and Capital Account (Millions of US Dollars)","2,706.66","-735.08","301.61","794.44"
"2019","BOP_Transfers_Official (net) (Millions of US Dollars)","0.00","0.00","0.00","17.65"
"2019","BOP_Transfers_Private (net) (Millions of US Dollars)","794.13","884.52","812.93","894.86"
"2019","BOP_Transfers (net) (Millions of US Dollars)","794.13","884.52","812.93","912.51"
"2019","BOP_Income_Outflows (Millions of US Dollars)","-758.19","-1,227.32","-1,120.68","-1,328.88"
"2019","BOP_Income_Inflows (Millions of US Dollars)","82.66","88.62","119.04","192.63"
"2019","BOP_Income (net) (Millions of US Dollars)","-675.54","-1,138.70","-1,001.64","-1,136.25"
"2019","BOP_Services_Outflows (Millions of US Dollars)","-2,742.99","-3,736.95","-3,547.31","-3,470.30"
"2019","BOP_Services_Inflows (Millions of US Dollars)","2,160.01","2,439.55","2,724.73","2,600.52"
"2019","BOP_Services (net) (Millions of US Dollars)","-582.98","-1,297.40","-822.59","-869.78"
"2019","BOP_Balance on Services, Income and Transfers (Millions of US Dollars)","-464.39","-1,551.59","-1,011.30","-1,093.52"
"2019","BOP_Merchandise Imports_Oil & Gas (Millions of US Dollars)","-675.94","-598.52","-604.62","-541.18"
"2019","BOP_Merchandise Imports_Non-oil (Millions of US Dollars)","-2,699.17","-2,718.97","-2,885.89","-2,686.42"
"2019","BOP_Merchandise Imports (f.o.b) (Millions of US Dollars)","-3,375.11","-3,317.49","-3,490.50","-3,227.60"
"2019","BOP_Merchandise Exports_Other Exports (Millions of US Dollars)","647.66","691.69","603.66","544.35"
"2019","BOP_Merchandise Exports_Crude Oil  (Millions of US Dollars)","1,054.10","1,235.64","1,135.72","1,067.61"
"2019","BOP_Merchandise Exports_Timber & Timber Products (Millions of US Dollars)","47.47","40.08","43.21","38.23"
"2019","BOP_Merchandise Exports_Gold (Millions of US Dollars)","1,435.89","1,541.18","1,656.71","1,595.91"
"2019","BOP_Merchandise Exports_Cocoa beans & Products (Millions of US Dollars)","832.40","521.33","226.30","708.38"
"2019","BOP_Merchandise Exports (f.o.b) Millions of US Dollars)","4,017.52","4,029.94","3,665.60","3,954.48"
"2019","BOP_Merchandise Trade Balance (Millions of US Dollars)","642.41","712.44","175.10","726.88"
"2019","BOP_Current Account (Millions of US Dollars)","178.02","-839.14","-836.20","-366.64"
"2018","BOP_Exceptional Financing (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2018","BOP_Reserves_Other Reserve Changes (Millions of US Dollars)","613.53","-241.91","385.76","-85.86"
"2018","BOP_Reserves_Holdings of SDR (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2018","BOP_Reserves_IMF Position (net) (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2018","BOP_Reserves and Related Items (Millions of US Dollars)","613.53","-241.91","385.76","-85.86"
"2018","BOP_Reserves_Changes in International Reserves (Millions of US Dollars)","613.53","-241.91","385.76","-85.86"
"2018","BOP_Overall Balance (Millions of US Dollars)","-613.53","241.91","-385.76","85.86"
"2018","BOP_Other investments (Millions of US Dollars)","-1,024.48","-115.77","-914.78","389.50"
"2018","BOP_Net Errors and Omissions (Millions of US Dollars)","-260.37","-67.46","-9.45","209.25"
"2018","BOP_Direct investments (Millions of US Dollars)","361.24","986.07","1,063.79","497.08"
"2018","BOP_Capital (net) (Millions of US Dollars)","83.25","75.24","67.31","31.96"
"2018","BOP_ Financial and Capital Account (Millions of US Dollars)","-579.99","945.54","216.32","918.55"
"2018","BOP_Transfers_Official (net) (Millions of US Dollars)","0.00","18.70","0.00","0.00"
"2018","BOP_Transfers_Private (net) (Millions of US Dollars)","556.64","719.31","657.41","630.99"
"2018","BOP_Transfers (net) (Millions of US Dollars)","556.64","738.01","657.41","630.99"
"2018","BOP_Income_Outflows (Millions of US Dollars)","-803.47","-1,152.33","-936.19","-1,628.10"
"2018","BOP_Income_Inflows (Millions of US Dollars)","118.08","136.89","94.77","248.53"
"2018","BOP_Income (net) (Millions of US Dollars)","-685.39","-1,015.43","-841.41","-1,379.57"
"2018","BOP_Services_Outflows (Millions of US Dollars)","-2,375.13","-2,890.22","-2,597.70","-2,222.72"
"2018","BOP_Services (net) (Millions of US Dollars)","-370.54","-890.10","-708.49","-544.68"
"2018","BOP_Services_Inflows (Millions of US Dollars)","2,004.66","2,000.13","1,889.21","1,678.04"
"2018","BOP_Merchandise Imports_Oil & Gas (Millions of US Dollars)","-660.42","-648.72","-588.39","-683.37"
"2018","BOP_Balance on Services, Income and Transfers (Millions of US Dollars)","-499.29","-1,167.52","-892.50","-1,293.26"
"2018","BOP_Merchandise Imports (f.o.b) (Millions of US Dollars)","-3,334.47","-3,265.62","-3,166.78","-3,367.20"
"2018","BOP_Merchandise Imports_Non-oil (Millions of US Dollars)","-2,674.04","-2,616.89","-2,578.39","-2,683.84"
"2018","BOP_Merchandise Exports_Other Exports (Millions of US Dollars)","654.95","713.25","554.46","609.47"
"2018","BOP_Merchandise Exports_Crude Oil  (Millions of US Dollars)","1,052.77","1,078.98","1,246.67","1,194.99"
"2018","BOP_Merchandise Exports_Gold (Millions of US Dollars)","1,430.98","1,482.25","1,367.80","1,154.68"
"2018","BOP_Merchandise Exports_Timber & Timber Products (Millions of US Dollars)","63.28","61.53","47.47","49.19"
"2018","BOP_Merchandise Exports (f.o.b) Millions of US Dollars)","4,060.58","3,796.97","3,466.64","3,618.53"
"2018","BOP_Merchandise Exports_Cocoa beans & Products (Millions of US Dollars)","858.61","460.95","250.24","610.20"
"2018","BOP_Merchandise Trade Balance (Millions of US Dollars)","726.12","531.35","299.86","251.33"
"2018","BOP_Current Account (Millions of US Dollars)","226.83","-636.17","-592.64","-1,041.94"
"2017","BOP_Exceptional Financing (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2017","BOP_Reserves_Other Reserve Changes (Millions of US Dollars)","408.32","-1,626.10","838.52","-712.18"
"2017","BOP_Reserves_Holdings of SDR (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2017","BOP_Reserves_IMF Position (net) (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2017","BOP_Reserves_Changes in International Reserves (Millions of US Dollars)","408.32","-1,626.10","838.52","-712.18"
"2017","BOP_Reserves and Related Items (Millions of US Dollars)","408.32","-1,626.10","838.52","-712.18"
"2017","BOP_Overall Balance (Millions of US Dollars)","-408.32","1,626.10","-838.52","712.18"
"2017","BOP_Net Errors and Omissions (Millions of US Dollars)","-114.36","-126.29","134.72","183.64"
"2017","BOP_Other investments (Millions of US Dollars)","-1,288.19","1,304.66","-893.31","411.27"
"2017","BOP_Direct investments (Millions of US Dollars)","558.30","892.90","899.12","888.76"
"2017","BOP_Capital (net) (Millions of US Dollars)","107.97","64.41","34.41","35.41"
"2017","BOP_ Financial and Capital Account (Millions of US Dollars)","-621.92","2,261.98","40.23","1,335.44"
"2017","BOP_Transfers_Official (net) (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2017","BOP_Transfers_Private (net) (Millions of US Dollars)","663.11","568.47","552.29","640.33"
"2017","BOP_Transfers (net) (Millions of US Dollars)","663.11","568.47","552.29","640.33"
"2017","BOP_Income_Outflows (Millions of US Dollars)","-666.46","-767.79","-682.66","-933.30"
"2017","BOP_Income_Inflows (Millions of US Dollars)","70.72","74.06","93.46","71.07"
"2017","BOP_Income (net) (Millions of US Dollars)","-595.74","-693.72","-589.20","-862.23"
"2017","BOP_Services_Outflows (Millions of US Dollars)","-2,277.57","-2,230.99","-2,304.66","-2,661.77"
"2017","BOP_Services_Inflows (Millions of US Dollars)","1,625.54","1,630.53","1,679.02","1,666.94"
"2017","BOP_Services (net) (Millions of US Dollars)","-652.03","-600.46","-625.64","-994.84"
"2017","BOP_Balance on Services, Income and Transfers (Millions of US Dollars)","-584.67","-725.71","-662.54","-1,216.73"
"2017","BOP_Merchandise Imports_Oil & Gas (Millions of US Dollars)","-568.66","-500.90","-468.42","-454.17"
"2017","BOP_Merchandise Imports_Non-oil (Millions of US Dollars)","-2,473.08","-2,526.84","-2,771.76","-2,883.52"
"2017","BOP_Merchandise Imports (f.o.b) (Millions of US Dollars)","-3,041.74","-3,027.74","-3,240.18","-3,337.69"
"2017","BOP_Merchandise Exports_Other Exports (Millions of US Dollars)","517.60","526.31","478.16","535.34"
"2017","BOP_Merchandise Exports_Crude Oil  (Millions of US Dollars)","632.53","610.00","760.43","1,112.14"
"2017","BOP_Merchandise Exports_Timber & Timber Products (Millions of US Dollars)","42.07","47.75","48.44","76.72"
"2017","BOP_Merchandise Exports_Gold (Millions of US Dollars)","1,761.61","1,263.83","1,347.72","1,413.00"
"2017","BOP_Merchandise Exports_Cocoa beans & Products (Millions of US Dollars)","1,000.55","795.98","254.51","610.33"
"2017","BOP_Merchandise Exports (f.o.b) Millions of US Dollars)","3,954.37","3,243.87","2,889.26","3,747.53"
"2017","BOP_Merchandise Trade Balance (Millions of US Dollars)","912.62","216.13","-350.92","409.84"
"2017","BOP_Current Account (Millions of US Dollars)","327.96","-509.59","-1,013.46","-806.89"
"2016","BOP_Exceptional Financing (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2016","BOP_Reserves_Other Reserve Changes (Millions of US Dollars)","448.90","397.22","522.39","-1,615.94"
"2016","BOP_Reserves_Holdings of SDR (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2016","BOP_Reserves_IMF Position (net) (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2016","BOP_Reserves_Changes in International Reserves (Millions of US Dollars)","448.90","397.22","522.39","-1,615.94"
"2016","BOP_Reserves and Related Items (Millions of US Dollars)","448.90","397.22","522.39","-1,615.94"
"2016","BOP_Overall Balance (Millions of US Dollars)","-448.90","-397.22","-522.39","1,615.94"
"2016","BOP_Net Errors and Omissions (Millions of US Dollars)","125.66","80.19","58.34","265.87"
"2016","BOP_Other investments (Millions of US Dollars)","-862.77","-750.67","-656.42","1,082.74"
"2016","BOP_Direct investments (Millions of US Dollars)","796.32","834.16","876.32","963.86"
"2016","BOP_Capital (net) (Millions of US Dollars)","68.58","68.58","68.58","68.58"
"2016","BOP_ Financial and Capital Account (Millions of US Dollars)","2.13","152.07","288.48","2,115.18"
"2016","BOP_Transfers_Official (net) (Millions of US Dollars)","3.82","3.75","13.08","4.95"
"2016","BOP_Transfers_Private (net) (Millions of US Dollars)","453.53","334.11","413.04","230.35"
"2016","BOP_Transfers (net) (Millions of US Dollars)","457.35","337.86","426.12","235.30"
"2016","BOP_Income_Outflows (Millions of US Dollars)","-368.05","-346.34","-382.36","-363.27"
"2016","BOP_Income_Inflows (Millions of US Dollars)","92.70","73.94","27.34","43.99"
"2016","BOP_Income (net) (Millions of US Dollars)","-275.34","-272.41","-355.03","-319.29"
"2016","BOP_Services_Outflows (Millions of US Dollars)","-1,623.08","-1,596.19","-2,043.48","-2,363.51"
"2016","BOP_Services_Inflows (Millions of US Dollars)","1,540.41","1,625.44","1,519.70","1,647.44"
"2016","BOP_Services (net) (Millions of US Dollars)","-82.67","29.25","-523.79","-716.07"
"2016","BOP_Balance on Services, Income and Transfers (Millions of US Dollars)","99.34","94.70","-452.70","-800.06"
"2016","BOP_Merchandise Imports_Oil & Gas (Millions of US Dollars)","-416.87","-485.40","-530.27","-402.35"
"2016","BOP_Merchandise Imports_Non-oil (Millions of US Dollars)","-2,875.70","-2,761.38","-2,757.88","-2,690.26"
"2016","BOP_Merchandise Imports (f.o.b) (Millions of US Dollars)","-3,292.57","-3,246.78","-3,288.15","-3,092.61"
"2016","BOP_Merchandise Exports_Other Exports (Millions of US Dollars)","462.95","570.00","517.60","495.24"
"2016","BOP_Merchandise Exports_Crude Oil  (Millions of US Dollars)","212.31","195.95","364.57","572.38"
"2016","BOP_Merchandise Exports_Timber & Timber Products (Millions of US Dollars)","55.75","73.61","70.16","56.19"
"2016","BOP_Merchandise Exports_Gold (Millions of US Dollars)","922.01","1,135.08","1,656.85","1,205.53"
"2016","BOP_Merchandise Exports_Cocoa beans & Products (Millions of US Dollars)","963.52","547.96","262.47","798.22"
"2016","BOP_Merchandise Exports (f.o.b) Millions of US Dollars)","2,616.54","2,522.60","2,871.64","3,127.56"
"2016","BOP_Merchandise Trade Balance (Millions of US Dollars)","-676.03","-724.18","-416.51","34.95"
"2016","BOP_Current Account (Millions of US Dollars)","-576.69","-629.48","-869.21","-765.11"
"2015","BOP_Exceptional Financing (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2015","BOP_Reserves_Other Reserve Changes (Millions of US Dollars)","848.57","757.80","284.64","-1,875.13"
"2015","BOP_Reserves_Holdings of SDR (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2015","BOP_Reserves_IMF Position (net) (Millions of US Dollars)","0.00","0.00","0.00","0.00"
"2015","BOP_Reserves_Changes in International Reserves (Millions of US Dollars)","848.57","757.80","284.64","-1,875.13"
"2015","BOP_Reserves and Related Items (Millions of US Dollars)","848.57","757.80","284.64","-1,875.13"
"2015","BOP_Overall Balance (Millions of US Dollars)","-848.57","-757.80","-284.64","1,875.13"
"2015","BOP_Net Errors and Omissions (Millions of US Dollars)","-80.67","-177.78","-27.54","-29.38"
"2015","BOP_Other investments (Millions of US Dollars)","-645.75","-1,203.03","-385.60","1,912.85"
"2015","BOP_Direct investments (Millions of US Dollars)","467.50","815.87","841.31","846.21"
"2015","BOP_Capital (net) (Millions of US Dollars)","118.47","118.47","118.47","118.47"
"2015","BOP_ Financial and Capital Account (Millions of US Dollars)","-59.79","-268.69","574.18","2,877.53"
"2015","BOP_Transfers_Official (net) (Millions of US Dollars)","0.00","97.66","102.81","21.92"
"2015","BOP_Transfers_Private (net) (Millions of US Dollars)","409.52","598.00","870.61","497.20"
"2015","BOP_Transfers (net) (Millions of US Dollars)","409.52","695.66","973.42","519.12"
